Station ID,Station,Total Sessions,Total Connection Time,Total Amount,Currency,Total kWh,Park
="93064408-4c67-4f09-8aba-32c1f34ada4a",="AUI-10316","11","19:02","24.73","USD","115.661",="FLO | EVC349 | SLID 332 | 3022 S Grand Ave"
="f0551d10-2700-41d3-9d57-0f7fb10dd388",="AUI-10281","8","11:21","15.24","USD","40.543",="FLO | EVC350 | SLID 84741 | 3000 W Slauson Ave"
="92799262-4e60-4280-b086-eceac6e974f8",="AUI-10324","19","36:13","5.64","USD","229.025",="FLO | EVC351 | SLID 35130 | 11009 S Figueroa St"
="1cee9a17-20e3-4ee7-a90e-791ccb805f20",="AUI-10323","11","19:08","25.79","USD","54.667",="FLO | EVC352 | SLID 52564 | 1033 W Pacific Coast Hwy"
="68c23609-4628-47c3-9ce5-cab124e933e7",="AUI-10311","101","282:39","77.95","USD","1012.329",="FLO | EVC353 | SLID 170749 | 5160 Vineland Avenue"
="f6dbb56b-cbea-4f1a-b16d-8b264c92086b",="AUI-10299","20","73:54","26.35","USD","210.059",="FLO | EVC354 | SLID 139418 | 11410 Burbank Blvd"
="280ea3fb-dd92-4756-9be4-7842065166b2",="AUI-10320","28","114:06","11.75","USD","443.529",="FLO | EVC355 | SLID 145496 | 21365 Erwin St"
="4b4ff1f9-8673-4f6c-ab9b-c5c4bed63710",="AUI-10325","12","13:29","1.01","USD","50.585",="FLO | EVC357 | SLID 151958 | 8201 Tampa Avenue"
="0d351079-7a0b-4899-b523-5b32f9c61b17",="AUI-10306","50","94:07","45.36","USD","352.593",="FLO | EVC358 | SLID 146920 | 6007 Variel Ave"
="470f6c6a-ded1-4577-ad63-13b33fea82d0",="AUI-10356","30","109:32","0.00","USD","386.748",="FLO | EVC359 | SLID 148753 | 7647 Canoga Avenue"
="a8195289-5c4c-4500-a028-fa04875d8d30",="AUI-10338","15","18:02","0.00","USD","95.19",="FLO | EVC360 | SLID 175900 | 3845 Selig Pl"
="914285a3-e3ae-4ecf-9e0e-29b37112221b",="AUI-10348","35","182:59","0.00","USD","455.12",="FLO | EVC362 | SLID 179390 | 10215 Palms Blvd"
="22a9a0de-c91d-44a4-89dc-befea30331c7",="AUI-10342","3","1:38","0.00","USD","5.799",="FLO | EVC363 | SLID 113361 | 9418 National Blvd"
="b3b9a6db-010f-463d-8659-efb6ed74493b",="AUI-10297","18","27:27","1.11","USD","163.09",="FLO | EVC364 | SLID 16921 | 13308 Paxton St"
="8b3e9c78-c631-4e36-a947-3a04c6535a6e",="AUI-10303","46","218:32","0.00","USD","343.759",="FLO | EVC366 | SLID 48611 | 1499 Gordon St"
="231b536d-c748-46e6-a255-02a71b820f0a",="AUI-10305","23","97:55","0.00","USD","308.069",="FLO | EVC368 | SLID 178154 | 3211 Beverly Blvd"
="699b3ed3-e718-4a16-b0bf-0238349b56c2",="AUI-10300","58","195:31","2.14","USD","722.274",="FLO | EVC369 | SLID 178172 | 3215 Beverly Blvd"
="32db5e81-2a85-41db-b84d-648ca681f69f",="AUI-10301","5","2:15","0.00","USD","14.399",="FLO | EVC370 | SLID 88523 | 256 S Lafayette Park Pl"
="a087bede-7e10-46ec-8045-aae7d5b3bde0",="AUI-10327","2","0:03","0.00","USD","0.276",="FLO | EVC373 | SLID 41597 | 948 E Vernon Ave"
="47b0df58-ceec-4942-aafb-ab96f5371ca3",="AUI-10332","97","502:03","0.00","USD","1895.49",="FLO | EVC374 | SLID 221767 | 923 E 3rd St"
="f0042211-489c-4f2a-8d48-457b879729d9",="AUI-10350","65","633:14","0.00","USD","741.562",="FLO | EVC376 | SLID 230518 | 9850 Exposition Blvd"
="f311cfe8-89df-4b36-b2cd-cd635c5edad1",="AUI-10346","5","13:23","9.84","USD","91.244",="FLO | EVC377 | SLID 38241 | 1757 S Robertson Blvd"
="37a13054-760c-42cc-bc5d-e80eaf9f95f6",="AUI-10360","12","5:00","0.00","USD","27.413",="FLO | EVC378 | SLID 57793 | 2411 N Thomas Street"
="00a88fc1-bdd6-439e-9dc1-b963709e334f",="AUI-10334","26","62:50","0.00","USD","334.522",="FLO | EVC379 | SLID 88401 | 176 S Virgil Ave"
="1effdc21-4027-4f66-aa32-597d7a8412b5",="AUI-10304","16","44:12","3.58","USD","121.47",="FLO | EVC382 | SLID 225591 | 3619 Regal Pl"
="5041a579-7696-4355-8b58-63125e8dcc7d",="AUI-10370","14","2:20","0.00","USD","15.638",="FLO | EVC383 | SLID 145228 | 18744 Parthenia St"
="f79cb54c-296c-4de2-a5d2-23a8807f8a72",="AUI-10343","27","92:19","0.00","USD","254.512",="FLO | EVC384 | SLID 149143 | 21021 Devonshire St"
="4079fa57-6127-4d35-94a9-ebc47a0be93b",="AUI-10368","10","7:33","0.00","USD","42.935",="FLO | EVC385 | SLID 134506 | 6945 Sepulveda Blvd"
